UTC_Time,ET_Seconds,Hours_Since_Start,Apparent_Magnitude,Phase_Angle_Deg,Observer_Distance_1000km
2020 FEB 05 10:00:00,634168869.1848843,0.0,-0.17929419165327332,9.19598562591627,38.6421129561773
2020 FEB 05 10:07:21,634169310.0012109,0.12244897961616516,-0.18869022950092074,9.442973391262266,38.643720942604574
2020 FEB 05 10:14:42,634169750.8175377,0.24489795926544403,-0.19570980791091586,10.005427886930722,38.64524986543522
2020 FEB 05 10:22:02,634170191.6338643,0.3673469388816092,-0.20017076529377675,10.834256944382243,38.64669687975936
2020 FEB 05 10:29:23,634170632.4501909,0.4897959184977743,-0.20111489729061205,11.873738269905875,38.64805921601016
2020 FEB 05 10:36:44,634171073.2665176,0.6122448981470532,-0.19821851392134704,13.073651346546107,38.6493341834837
2020 FEB 05 10:44:05,634171514.0828443,0.7346938777632184,-0.19143842805982203,14.393861151515365,38.65051917380802
2020 FEB 05 10:51:26,634171954.8991709,0.8571428573793836,-0.18099483889512058,15.804182144017567,38.65161166435739
2020 FEB 05 10:58:47,634172395.7154975,0.9795918369955486,-0.16731633224005193,17.28250251053315,38.652609221598716
2020 FEB 05 11:06:07,634172836.5318242,1.1020408166448274,-0.15103819855723088,18.812734579280487,38.65350950436894
2020 FEB 05 11:13:28,634173277.3481508,1.2244897962609926,-0.13284856765768893,20.383127253450755,38.654310267073406
2020 FEB 05 11:20:49,634173718.1644775,1.3469387758771578,-0.11373447916082569,21.98501442711049,38.655009362802474
2020 FEB 05 11:28:10,634174158.9808042,1.4693877555264367,-0.0936457195041811,23.6119261806889,38.65560474635499
2020 FEB 05 11:35:31,634174599.7971308,1.591836735142602,-0.07281915997547017,25.258967491647294,38.65609447716542
2020 FEB 05 11:42:51,634175040.6134574,1.7142857147587671,-0.05149203833200389,26.922384759485418,38.65647672212855
2020 FEB 05 11:50:12,634175481.4297842,1.8367346944080458,-0.029719772720547155,28.599261717967025,38.65674975831273
2020 FEB 05 11:57:33,634175922.2461108,1.959183674024211,-0.007327770471341921,30.28730413476848,38.656911975557826
2020 FEB 05 12:04:54,634176363.0624374,2.0816326536403764,0.015937666953778518,31.98468567139791,38.65696187895154
2020 FEB 05 12:12:15,634176803.8787642,2.204081633289655,0.040361383164974285,33.689936198415836,38.65689809117696
2020 FEB 05 12:19:36,634177244.6950908,2.3265306129058203,0.0662679730507243,35.40185988826926,38.656719354727166
2020 FEB 05 12:26:56,634177685.5114174,2.4489795925219853,0.09389562974675059,37.11947442942576,38.656424533980335
2020 FEB 05 12:34:17,634178126.327744,2.5714285721381507,0.12346286516708815,38.84196538410452,38.65601261713057
2020 FEB 05 12:41:38,634178567.1440707,2.6938775517874296,0.15517385930664318,40.568651540142874,38.65548271796905
2020 FEB 05 12:48:59,634179007.9603974,2.8163265314035946,0.18921974011295362,42.298958324764286,38.65483407751173
2020 FEB 05 12:56:20,634179448.776724,2.9387755110197595,0.225786435239673,44.03239720428672,38.654066065466715
2020 FEB 05 13:03:40,634179889.5930507,3.0612244906690385,0.2650625371334634,45.76854956149196,38.65317818153977
2020 FEB 05 13:11:01,634180330.4093773,3.183673470285204,0.3072462646396339,47.5070539641973,38.65217005657317
2020 FEB 05 13:18:22,634180771.225704,3.306122449901369,0.3526087454171183,49.24759602776209,38.65104145351192
2020 FEB 05 13:25:43,634181212.0420307,3.4285714295506478,0.40134725894752776,50.98990026819191,38.64979226819757
2020 FEB 05 13:33:04,634181652.8583573,3.5510204091668127,0.45370181785812136,52.733723504312884,38.64842252998601
2020 FEB 05 13:40:24,634182093.6746839,3.673469388782978,0.5099603037951859,54.478849476226415,38.64693240218219
2020 FEB 05 13:47:45,634182534.4910105,3.795918368399143,0.5704440848161916,56.225084413998296,38.645322182296354
2020 FEB 05 13:55:06,634182975.3073373,3.918367348048422,0.6355127770204447,57.972253366351744,38.643592302114435
2020 FEB 05 14:02:27,634183416.1236639,4.040816327664587,0.7055695369466406,59.72019713032295,38.64174332758568
2020 FEB 05 14:09:48,634183856.9399905,4.163265307280753,0.781066955609333,61.46876966952785,38.639775958519046
2020 FEB 05 14:17:09,634184297.7563173,4.285714286930031,0.8625727103091556,63.21783591758104,38.63769102809666
2020 FEB 05 14:24:29,634184738.5726439,4.408163266546197,0.9506375739327844,64.96726989587738,38.635489502199846
2020 FEB 05 14:31:50,634185179.3889705,4.530612246162361,1.045868094695308,66.7169530899249,38.63317247854286
2020 FEB 05 14:39:11,634185620.2052972,4.653061225811641,1.148979331242078,68.46677302721801,38.630741185623855
2020 FEB 05 14:46:32,634186061.0216238,4.775510205427806,1.2607632484664997,70.21662202140914,38.62819698149062
2020 FEB 05 14:53:53,634186501.8379505,4.8979591850439705,1.3820837555396572,71.96639605455682,38.62554135231491
2020 FEB 05 15:01:13,634186942.6542772,5.02040816469325,1.5138571190602619,73.71599376193393,38.622775910789215
2020 FEB 05 15:08:34,634187383.4706038,5.142857144309414,1.6570037900665824,75.46531550093958,38.61990239434285
2020 FEB 05 15:15:55,634187824.2869304,5.26530612392558,1.8124396181177467,77.21426248899083,38.61692266317211
2020 FEB 05 15:23:16,634188265.1032571,5.387755103541745,1.9807094266012157,78.9627359846016,38.61383869810173
2020 FEB 05 15:30:37,634188705.9195838,5.510204083191024,2.1615585588356367,80.71063650438258,38.61065259826922
2020 FEB 05 15:37:58,634189146.7359104,5.632653062807189,2.3533827844824877,82.45786305690538,38.60736657864472
2020 FEB 05 15:45:18,634189587.552237,5.7551020424233545,2.5518548694223497,84.20431238865103,38.603982967377014
2020 FEB 05 15:52:39,634190028.3685638,5.877551022072633,2.7563410092864835,85.9498782213807,38.60050420298623
2020 FEB 05 16:00:00,634190469.1848904,6.000000001688798,2.9868144477208958,87.69445047385184,38.596932831400686
